Time,Sequence Number,Event
0,1,send
0,1001,send
0,2001,send
0,1,transmit
0.008,1001,transmit
0.010000000000000002,1001,ack
0.010000000000000002,3001,send
0.010000000000000002,4001,send
0.016,2001,transmit
0.018000000000000002,2001,ack
0.018000000000000002,5001,send
0.018000000000000002,6001,send
0.024,3001,transmit
0.026000000000000002,3001,ack
0.026000000000000002,7001,send
0.026000000000000002,8001,send
0.032,4001,transmit
0.034,4001,ack
0.034,9001,send
0.034,10001,send
0.04,5001,transmit
0.042,5001,ack
0.042,11001,send
0.042,12001,send
0.048,6001,transmit
0.05,6001,ack
0.05,13001,send
0.05,14001,send
0.056,7001,transmit
0.058,7001,ack
0.058,15001,send
0.058,16001,send
0.064,8001,transmit
0.066,8001,ack
0.066,17001,send
0.066,18001,send
0.07200000000000001,9001,transmit
0.07400000000000001,9001,ack
0.07400000000000001,19001,send
0.07400000000000001,20001,send
0.08000000000000002,10001,transmit
0.08200000000000002,10001,ack
0.08200000000000002,21001,send
0.08200000000000002,22001,send
0.08800000000000002,11001,transmit
0.09000000000000002,11001,ack
0.09000000000000002,23001,send
0.09000000000000002,24001,send
0.09600000000000003,12001,transmit
0.09800000000000003,12001,ack
0.09800000000000003,25001,send
0.09800000000000003,26001,send
0.10400000000000004,13001,transmit
0.10600000000000004,13001,ack
0.10600000000000004,27001,send
0.10600000000000004,28001,send
0.11200000000000004,14001,transmit
0.11400000000000005,14001,ack
0.11400000000000005,29001,send
0.11400000000000005,30001,send
0.12000000000000005,15001,transmit
0.12200000000000005,15001,ack
0.12200000000000005,31001,send
0.12200000000000005,32001,send
0.12800000000000006,16001,transmit
0.13000000000000006,16001,ack
0.13000000000000006,33001,send
0.13000000000000006,34001,send
0.13600000000000007,17001,transmit
0.13800000000000007,17001,ack
0.13800000000000007,35001,send
0.13800000000000007,36001,send
0.14400000000000007,18001,transmit
0.14600000000000007,18001,ack
0.14600000000000007,37001,send
0.14600000000000007,38001,send
0.15200000000000008,19001,transmit
0.15400000000000008,19001,ack
0.15400000000000008,39001,send
0.15400000000000008,40001,send
0.1600000000000001,20001,transmit
0.1620000000000001,20001,ack
0.1620000000000001,41001,send
0.1620000000000001,42001,send
0.1680000000000001,21001,transmit
0.1700000000000001,21001,ack
0.1700000000000001,43001,send
0.1700000000000001,44001,send
0.1760000000000001,22001,transmit
0.1780000000000001,22001,ack
0.1780000000000001,45001,send
0.1780000000000001,46001,send
0.1840000000000001,23001,transmit
0.1860000000000001,23001,ack
0.1860000000000001,47001,send
0.1860000000000001,48001,send
0.19200000000000012,24001,transmit
0.19400000000000012,24001,ack
0.19400000000000012,49001,send
0.19400000000000012,50001,send
0.20000000000000012,25001,transmit
0.20200000000000012,25001,ack
0.20200000000000012,51001,send
0.20200000000000012,52001,send
0.20800000000000013,26001,transmit
0.21000000000000013,26001,ack
0.21000000000000013,53001,send
0.21000000000000013,54001,send
0.21600000000000014,27001,transmit
0.21800000000000014,27001,ack
0.21800000000000014,55001,send
0.21800000000000014,56001,send
0.22400000000000014,28001,transmit
0.22600000000000015,28001,ack
0.22600000000000015,57001,send
0.22600000000000015,58001,send
0.23200000000000015,29001,transmit
0.23400000000000015,29001,ack
0.23400000000000015,59001,send
0.23400000000000015,60001,send
0.24000000000000016,30001,transmit
0.24200000000000016,30001,ack
0.24200000000000016,61001,send
0.24200000000000016,62001,send
0.24800000000000016,31001,transmit
0.25000000000000017,31001,ack
0.25000000000000017,63001,send
0.25000000000000017,64001,send
0.25600000000000017,32001,transmit
0.2580000000000002,32001,ack
0.2580000000000002,65001,send
0.2580000000000002,66001,send
0.2640000000000002,33001,transmit
0.2660000000000002,33001,ack
0.2660000000000002,67001,send
0.2660000000000002,68001,send
0.2720000000000002,34001,transmit
0.2740000000000002,34001,ack
0.2740000000000002,69001,send
0.2740000000000002,70001,send
0.2800000000000002,35001,transmit
0.2820000000000002,35001,ack
0.2820000000000002,71001,send
0.2820000000000002,72001,send
0.2880000000000002,36001,transmit
0.2900000000000002,36001,ack
0.2900000000000002,73001,send
0.2900000000000002,74001,send
0.2960000000000002,37001,transmit
0.2980000000000002,37001,ack
0.2980000000000002,75001,send
0.2980000000000002,76001,send
0.3040000000000002,38001,transmit
0.3060000000000002,38001,ack
0.3060000000000002,77001,send
0.3060000000000002,78001,send
0.3120000000000002,39001,transmit
0.3140000000000002,39001,ack
0.3140000000000002,79001,send
0.3140000000000002,80001,send
0.32000000000000023,40001,transmit
0.32200000000000023,40001,ack
0.32200000000000023,81001,send
0.32200000000000023,82001,send
0.32800000000000024,41001,transmit
0.33000000000000024,41001,ack
0.33000000000000024,83001,send
0.33000000000000024,84001,send
0.33600000000000024,42001,transmit
0.33800000000000024,42001,ack
0.33800000000000024,85001,send
0.33800000000000024,86001,send
0.34400000000000025,43001,transmit
0.34600000000000025,43001,ack
0.34600000000000025,87001,send
0.34600000000000025,88001,send
0.35200000000000026,44001,transmit
0.35400000000000026,44001,ack
0.35400000000000026,89001,send
0.35400000000000026,90001,send
0.36000000000000026,45001,transmit
0.36200000000000027,45001,ack
0.36200000000000027,91001,send
0.36200000000000027,92001,send
0.36800000000000027,46001,transmit
0.3700000000000003,46001,ack
0.3700000000000003,93001,send
0.3700000000000003,94001,send
0.3760000000000003,47001,transmit
0.3780000000000003,47001,ack
0.3780000000000003,95001,send
0.3780000000000003,96001,send
0.3840000000000003,48001,transmit
0.3860000000000003,48001,ack
0.3860000000000003,97001,send
0.3860000000000003,98001,send
0.3920000000000003,49001,transmit
0.3940000000000003,49001,ack
0.3940000000000003,99001,send
0.3940000000000003,100001,send
0.4000000000000003,50001,transmit
0.4020000000000003,50001,ack
0.4020000000000003,101001,send
0.4020000000000003,102001,send
0.4080000000000003,51001,transmit
0.4100000000000003,51001,ack
0.4100000000000003,103001,send
0.4100000000000003,104001,send
0.4160000000000003,52001,transmit
0.4180000000000003,52001,ack
0.4180000000000003,105001,send
0.4180000000000003,106001,send
0.4240000000000003,53001,transmit
0.4260000000000003,53001,ack
0.4260000000000003,107001,send
0.4260000000000003,108001,send
0.43200000000000033,54001,transmit
0.43400000000000033,54001,ack
0.43400000000000033,109001,send
0.43400000000000033,110001,send
0.44000000000000034,55001,transmit
0.44200000000000034,55001,ack
0.44200000000000034,111001,send
0.44200000000000034,112001,send
0.44800000000000034,56001,transmit
0.45000000000000034,56001,ack
0.45000000000000034,113001,send
0.45000000000000034,114001,send
0.45600000000000035,57001,transmit
0.45800000000000035,57001,ack
0.45800000000000035,115001,send
0.45800000000000035,116001,send
0.46400000000000036,58001,transmit
0.46600000000000036,58001,ack
0.46600000000000036,117001,send
0.46600000000000036,118001,send
0.47200000000000036,59001,transmit
0.47400000000000037,59001,ack
0.47400000000000037,119001,send
0.47400000000000037,120001,send
0.48000000000000037,60001,transmit
0.4820000000000004,60001,ack
0.4820000000000004,121001,send
0.4820000000000004,122001,send
0.4880000000000004,61001,transmit
0.4900000000000004,61001,ack
0.4900000000000004,123001,send
0.4900000000000004,124001,send
0.4960000000000004,62001,transmit
0.4980000000000004,62001,ack
0.4980000000000004,125001,send
0.4980000000000004,126001,send
0.5040000000000003,63001,transmit
0.5060000000000003,63001,ack
0.5060000000000003,127001,send
0.5060000000000003,128001,send
0.5120000000000003,64001,transmit
0.5140000000000003,64001,ack
0.5140000000000003,129001,send
0.5140000000000003,130001,send
0.5200000000000004,65001,transmit
0.5220000000000004,65001,ack
